Professor,Dia,Turno,Horário,Disciplina
Prof 8,Quarta,M,5,livre
Prof 8,Quarta,T,1,livre
Prof 8,Quarta,T,2,livre
Prof 8,Quarta,T,3,livre
Prof 8,Quarta,T,4,livre
Prof 8,Quarta,T,5,livre
Prof 8,Quarta,N,1,livre
Prof 8,Quarta,N,2,livre
Prof 8,Quarta,N,3,livre
Prof 8,Quarta,N,4,livre
Prof 8,Quarta,N,5,livre
Prof 8,Quinta,M,1,livre
Prof 8,Quinta,M,2,livre
Prof 8,Quinta,M,3,livre
Prof 8,Quinta,M,4,livre
Prof 8,Quinta,M,5,livre
Prof 8,Quinta,T,1,livre
Prof 8,Quinta,T,2,livre
Prof 8,Quinta,T,3,livre
Prof 8,Quinta,T,4,livre
Prof 8,Quinta,T,5,livre
Prof 8,Quinta,N,1,Governança de TI (SIN - 7º período)
Prof 8,Quinta,N,2,Governança de TI (SIN - 7º período)
Prof 8,Quinta,N,3,Governança de TI (SIN - 7º período)
Prof 8,Quinta,N,4,Governança de TI (SIN - 7º período)
Prof 8,Quinta,N,5,livre
Prof 8,Sexta,M,1,livre
Prof 8,Sexta,M,2,livre
Prof 8,Sexta,M,3,livre
Prof 8,Sexta,M,4,livre
Prof 8,Sexta,M,5,livre
Prof 8,Sexta,T,1,livre
Prof 8,Sexta,T,2,livre
Prof 8,Sexta,T,3,livre
Prof 8,Sexta,T,4,livre
Prof 8,Sexta,T,5,livre
Prof 8,Sexta,N,1,Inteligência de Negócios (SIN - 7º período)
Prof 8,Sexta,N,2,Inteligência de Negócios (SIN - 7º período)
Prof 8,Sexta,N,3,Inteligência de Negócios (SIN - 7º período)
Prof 8,Sexta,N,4,Inteligência de Negócios (SIN - 7º período)
Prof 8,Sexta,N,5,livre
Prof 9,Segunda,M,1,Programação Orientada a Objetos (CCO - 3º período)
Prof 9,Segunda,M,2,Programação Orientada a Objetos (CCO - 3º período)
Prof 9,Segunda,M,3,Programação Orientada a Objetos (CCO - 3º período)
Prof 9,Segunda,M,4,Programação Orientada a Objetos (CCO - 3º período)
Prof 9,Segunda,M,5,livre
Prof 9,Segunda,T,1,livre
Prof 9,Segunda,T,2,livre
Prof 9,Segunda,T,3,livre
Prof 9,Segunda,T,4,livre
Prof 9,Segunda,T,5,livre
Prof 9,Segunda,N,1,livre
Prof 9,Segunda,N,2,livre
Prof 9,Segunda,N,3,livre
Prof 9,Segunda,N,4,livre
Prof 9,Segunda,N,5,Computação Orientada a Objetos I (SIN - 3º período)
Prof 9,Terça,M,1,livre
Prof 9,Terça,M,2,livre
Prof 9,Terça,M,3,livre
Prof 9,Terça,M,4,livre
Prof 9,Terça,M,5,livre
Prof 9,Terça,T,1,livre
Prof 9,Terça,T,2,livre
Prof 9,Terça,T,3,livre
Prof 9,Terça,T,4,livre
Prof 9,Terça,T,5,livre
Prof 9,Terça,N,1,livre
Prof 9,Terça,N,2,livre
Prof 9,Terça,N,3,livre
Prof 9,Terça,N,4,livre
Prof 9,Terça,N,5,Computação Orientada a Objetos I (SIN - 3º período)
Prof 9,Quarta,M,1,livre
Prof 9,Quarta,M,2,livre
Prof 9,Quarta,M,3,livre
Prof 9,Quarta,M,4,livre
Prof 9,Quarta,M,5,livre
Prof 9,Quarta,T,1,livre
Prof 9,Quarta,T,2,livre
Prof 9,Quarta,T,3,livre
Prof 9,Quarta,T,4,livre
Prof 9,Quarta,T,5,livre
Prof 9,Quarta,N,1,livre
Prof 9,Quarta,N,2,livre
Prof 9,Quarta,N,3,livre
Prof 9,Quarta,N,4,livre
Prof 9,Quarta,N,5,Computação Orientada a Objetos I (SIN - 3º período)
Prof 9,Quinta,M,1,livre
Prof 9,Quinta,M,2,livre
Prof 9,Quinta,M,3,livre
